LAMMPS (22 Jul 2025 - Update 3)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread.
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 2 2 2
Created orthogonal box = (0 0 0) to (12 12 12)
  1 by 1 by 1 MPI processor grid
Created 864 atoms
  using lattice units in orthogonal box = (0 0 0) to (12 12 12)
  create_atoms CPU = 0.001 seconds
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 9 9 9
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.01
Per MPI rank memory allocation (min/avg/max) = 3.129 | 3.129 | 3.129 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
      1090   0.97683334    -3.2981628      1.4635541     -1.8346086      0.036955898    1728         
      1100   0.99082691    -3.3181471      1.4845202     -1.8336269     -0.066454123    1728         
      1110   0.97422156    -3.2925494      1.459641      -1.8329084      0.0091674955   1728         
      1120   0.96759498    -3.2836857      1.4497126     -1.833973       0.10622541     1728         
      1130   0.98670934    -3.3136273      1.478351      -1.8352764      0.011336705    1728         
      1140   0.99105619    -3.3214047      1.4848637     -1.836541      -0.038907623    1728         
      1150   1.0038767     -3.3413723      1.5040721     -1.8373002     -0.10309004     1728         
      1160   1.0100163     -3.3506299      1.513271      -1.8373589     -0.14205646     1728         
      1170   0.99218714    -3.3238593      1.4865582     -1.8373012      0.0079844047   1728         
      1180   0.9902396     -3.3195418      1.4836402     -1.8359015      0.023508451    1728         
      1190   1.0012358     -3.3375056      1.5001154     -1.8373902      0.027934618    1728         
      1200   1.0007548     -3.3365474      1.4993948     -1.8371526      0.023673085    1728         
      1210   0.98949033    -3.3194513      1.4825176     -1.8369337      0.080865982    1728         
      1220   0.99801756    -3.3327898      1.4952937     -1.8374961      0.080807819    1728         
      1230   0.98756398    -3.3173654      1.4796314     -1.8377339      0.13304542     1728         
      1240   1.0122659     -3.354543       1.5166414     -1.8379016      0.048884527    1728         
      1250   1.0038879     -3.341781       1.504089      -1.8376921      0.060662484    1728         
      1260   1.0014784     -3.3377185      1.5004789     -1.8372396      0.051356013    1728         
      1270   1.0070607     -3.3473437      1.5088427     -1.838501       0.015525255    1728         
      1280   0.99775418    -3.3308957      1.4948991     -1.8359966     -0.016514768    1728         
      1290   1.0029154     -3.3396636      1.502632      -1.8370316     -0.06604676     1728         
      1300   0.98939992    -3.3195245      1.4823822     -1.8371423      0.0023659588   1728         
      1310   0.99447571    -3.3265863      1.4899871     -1.8365992     -0.045442261    1728         
      1320   0.99339939    -3.3253476      1.4883744     -1.8369731      0.0099009605   1728         
      1330   0.98654002    -3.3152134      1.4780973     -1.8371161      0.092992246    1728         
      1340   0.99097415    -3.3215422      1.4847408     -1.8368014      0.043977603    1728         
      1350   0.97809057    -3.3018445      1.4654378     -1.8364068      0.12486317     1728         
      1360   0.98584211    -3.313408       1.4770516     -1.8363563      0.13675534     1728         
      1370   1.0066288     -3.3454741      1.5081956     -1.8372785      0.068102137    1728         
      1380   0.99140116    -3.3221483      1.4853806     -1.8367678      0.14351497     1728         
      1390   0.99904067    -3.3351637      1.4968266     -1.8383371      0.10551159     1728         
      1400   0.99122019    -3.3223527      1.4851094     -1.8372433      0.14146929     1728         
      1410   1.0160305     -3.3594759      1.5222818     -1.8371942      0.019823034    1728         
      1420   1.0072798     -3.3465107      1.5091709     -1.8373398      0.033299388    1728         
      1430   1.0016311     -3.3386151      1.5007077     -1.8379075     -0.0054258288   1728         
      1440   0.99763468    -3.3333067      1.49472       -1.8385867     -0.030601957    1728         
      1450   1.0052402     -3.3450123      1.506115      -1.8388973      0.0064401164   1728         
      1460   0.99858712    -3.3340656      1.496147      -1.8379186      0.097648756    1728         
      1470   1.0124407     -3.3559748      1.5169034     -1.8390714      0.071490326    1728         
      1480   1.0112122     -3.3530277      1.5150627     -1.837965       0.075187514    1728         
      1490   1.0074422     -3.3480001      1.5094143     -1.8385858      0.10074803     1728         
      1500   0.97772205    -3.3020976      1.4648856     -1.8372119      0.17655573     1728         
      1510   0.99150391    -3.3217185      1.4855345     -1.836184       0.065593951    1728         
      1520   0.99369377    -3.3246893      1.4888155     -1.8358738      0.0046370497   1728         
      1530   0.99868035    -3.3322319      1.4962867     -1.8359452     -0.080419265    1728         
      1540   0.97352765    -3.293936       1.4586013     -1.8353347     -0.0028714298   1728         
      1550   0.99654123    -3.3282834      1.4930817     -1.8352016     -0.10123915     1728         
      1560   0.98094335    -3.305861       1.469712      -1.836149      -0.0053547818   1728         
      1570   0.97322995    -3.2932088      1.4581553     -1.8350535      0.027986556    1728         
      1580   0.98443596    -3.3093441      1.4749448     -1.8343992     -0.0062880903   1728         
      1590   0.98996772    -3.3179663      1.4832329     -1.8347335     -0.047412704    1728         
      1600   0.9995653     -3.3324375      1.4976126     -1.8348249     -0.074876346    1728         
      1610   0.97470465    -3.2954842      1.4603648     -1.8351194      0.0099573725   1728         
      1620   0.98923651    -3.3176091      1.4821373     -1.8354717     -0.085986893    1728         
      1630   0.95701942    -3.2691446      1.4338676     -1.835277       0.01582128     1728         
      1640   0.97635644    -3.2983404      1.4628396     -1.8355008     -0.038285492    1728         
      1650   0.96569455    -3.281826       1.4468653     -1.8349607     -0.015978294    1728         
      1660   0.98146082    -3.3062102      1.4704873     -1.8357229     -0.04887813     1728         
      1670   1.0100926     -3.3483028      1.5133853     -1.8349175     -0.10432291     1728         
      1680   1.0015924     -3.335076       1.5006497     -1.8344263     -0.023876759    1728         
      1690   1.0016087     -3.3358672      1.5006742     -1.8351931      0.0058854658   1728         
      1700   0.97738364    -3.2989941      1.4643786     -1.8346155      0.091686531    1728         
      1710   0.99368566    -3.323196       1.4888033     -1.8343926      0.0074834126   1728         
      1720   0.99031856    -3.3189417      1.4837585     -1.8351832      0.0030634143   1728         
      1730   1.0121352     -3.3513189      1.5164456     -1.8348733     -0.099787454    1728         
      1740   0.98840389    -3.3159946      1.4808899     -1.8351047     -0.044199022    1728         
      1750   0.99031735    -3.3181684      1.4837567     -1.8344117     -0.08367449     1728         
      1760   0.9805089     -3.3027666      1.4690611     -1.8337055     -0.068189231    1728         
      1770   0.94956798    -3.2561769      1.4227034     -1.8334735      0.09184037     1728         
      1780   0.98703703    -3.3129181      1.4788419     -1.8340762     -0.020614478    1728         
      1790   0.97363436    -3.2932022      1.4587612     -1.834441       0.051080414    1728         
      1800   1.0020883     -3.3362787      1.5013927     -1.834886      -0.088358034    1728         
      1810   0.99232062    -3.3208859      1.4867582     -1.8341277     -0.051308333    1728         
      1820   1.0044432     -3.3398115      1.504921      -1.8348905     -0.062568752    1728         
      1830   0.96650389    -3.2820999      1.4480779     -1.834022       0.092537712    1728         
      1840   0.99635577    -3.3273368      1.4928039     -1.834533      -0.081384133    1728         
      1850   0.97435457    -3.2941688      1.4598403     -1.8343285     -0.047732178    1728         
      1860   0.95993382    -3.2732077      1.4382342     -1.8349735     -0.017145938    1728         
      1870   0.97949224    -3.3012513      1.4675379     -1.8337135     -0.057440183    1728         
      1880   0.97384905    -3.2936911      1.4590829     -1.8346082     -0.022024744    1728         
      1890   0.98444816    -3.309039       1.4749631     -1.8340759     -0.031470228    1728         
